operationdistrict,capitaldistrict,euidistrict,operationdoasvrf,capitaldoasvrf,euidoasvrf,operationvav,capitalvav,euivav
991422.5186,1920306.324,162.4315134,949964.2283,3073497.748,75.01656747,783252.6757,3178540.596,244.7814981
998726.8715,2082375.423,172.006207,963934.8399,2528518.49,87.06799088,836467.5294,2782870.661,244.0864404
951111.4067,2867647.162,160.9450449,913821.5252,2732171.304,103.3841429,777653.2868,2946248.423,239.7116808
1001202.108,2166654.238,192.0902629,1036024.656,2617916.867,133.4453468,775970.9358,2984368.973,258.7234675
1003179.082,2262883.371,166.8634591,947488.9913,3033451.558,77.70770281,808242.5043,2498341.937,250.9176593
997021.9075,1970165.006,186.9647767,1075291.511,2789156.094,121.5970757,814422.2919,2456742.069,267.0675376
942682.4884,2663874.101,165.9159346,1035994.14,2447334.972,95.05224154,676302.0918,3077495.182,252.5412793
862583.645,2790312.08,152.6146717,1016454.655,2659587.634,109.6326589,900429.5905,2348061.469,254.8475568
1040499.479,2778746.193,187.1528233,912696.9598,3023056.439,74.12867702,835342.964,2824384.635,249.0933225
949986.8413,2496626.241,171.3958219,947488.9913,2651414.981,93.16217767,993440.0782,2348862.257,286.8958405
945489.4048,2322705.39,154.9816936,956630.487,2211076.498,84.8876602,777947.9093,2756802.522,258.3001846
844160.8229,3283466.443,157.8059917,1001224.721,2760316.274,91.43411895,829185.7895,2823371.95,247.2500183
852200.3662,2549442.655,166.9517475,818532.9001,3271024.416,64.06252445,816897.5288,2626869.229,259.6203037
916319.3751,2610313.898,174.6532884,927460.4574,2837675.508,64.51351354,847214.7368,2454283.011,262.1375953
1054439.575,2075300.012,173.966285,943807.0538,2937656.944,68.61762285,819999.0677,2935627.366,255.2484966
895376.09,2697727.724,156.2202763,876222.5773,2831455.341,82.63203264,797101.4221,2855906.405,252.8919582
969534.2288,2262089.689,172.2555131,1161298.809,2342757.889,127.2247653,828061.2241,2937040.883,254.4012388
910719.9862,2292603.048,178.8787661,1086137.97,2336249.143,122.1275628,906028.9794,2345754.741,260.5127103
1004303.647,1959405.543,193.1769997,1075291.511,2789156.094,121.5970757,820021.6808,3166005.671,251.2303028
998726.8715,2070370.405,186.6932684,1035994.14,2448087.592,98.80849983,904904.414,2713725.951,260.3724714
895376.09,2647526.029,152.9058195,991422.5186,2203053.348,96.77714851,818022.0942,2924982.573,243.26893
909037.6353,2785631.096,158.5600964,998726.8715,2387420.83,107.471248,871259.5609,2512820.918,273.4822818
980281.4363,2323424.689,177.0343705,963934.8399,2440920.792,77.53105084,871236.9479,2271325.555,278.9617523
818532.9001,2609742.982,180.1135776,895376.09,2897631.763,81.06682576,634228.3204,3562545.506,242.5719532
874245.6037,2858365.133,154.4525079,906517.1723,2377829.587,87.43792446,879299.1043,2300879.113,288.6724436
991422.5186,1715092.939,189.491875,897353.0635,3052854.508,68.94532625,805140.9654,2601366.076,246.0893132
916319.3751,2690366.537,175.025518,802087.0515,3196718.009,76.97453069,854791.0993,2646362.446,269.9971762
912696.9598,2191387.331,172.8970158,906517.1723,2577642.555,65.93540595,865660.172,2343954.526,274.580025
948613.5567,2306518.61,189.4921758,1012343.191,2299942.732,78.84129553,684341.6352,2860336.089,250.7882007
