operationall,capitalall,euiall,operationpareto,capitalpareto,euipareto
955569.1208,2624169.86,311.9803062,,,
779630.2603,2508846.747,257.4570288,,,
1067715.148,2706415.461,121.9489094,,,
851720.0759,3089730.679,274.6472968,,,
1004303.647,2644106.275,76.73906784,,,
1033496.29,2351551.531,74.87368441,,,
983382.9753,2103880.523,190.9406413,,,
983382.9753,2453896.661,108.8638037,,,
844507.0727,2373613.151,284.5648551,,,
951088.7936,2985105.974,64.05416594,,,
969417.8672,2388834.985,315.8429443,,,
1067692.535,2043784.103,207.2418945,,,
1108083.956,2402671.138,226.2725968,,,
782128.1103,2887572.314,255.6045048,,,
948590.9437,2607133.027,69.66294832,,,
969534.2288,2282545.685,169.3156482,,,
1003179.082,1871330.62,178.4752163,,,
931571.9217,3531473.299,99.7012838,,,
770348.9338,2671776.215,246.6387754,,,
892569.1736,3391202.094,76.31094746,,,
985880.8252,2967147.416,72.34516521,,,
738681.0543,2761208.218,242.1550784,,,
836467.5294,2895745.517,249.8121993,,,
1035994.14,2039288.215,183.8060941,,,
777653.2868,2634983.127,273.6858963,,,
984786.7754,2769194.745,190.9880761,,,
1069669.509,1871452.668,209.4171591,,,
956630.487,2115682.109,91.92510065,,,
1054416.962,1756681.344,192.5334853,,,
1037397.94,2562406.917,200.1902542,,,
1123427.852,2774278.444,119.8114117,,,
879276.4912,2036290.44,273.2493337,,,
865081.495,3150885.953,75.80050681,,,
951111.4067,3237332.298,68.06240249,,,
1038522.506,2746074.125,186.5264306,,,
878930.2414,2910764.294,84.64414276,,,
961105.3105,2698539.036,73.90842425,,,
903415.6333,2153284.765,166.0411159,,,
812422.7053,2363549.082,268.2139882,,,
844507.0727,2375937.05,279.9078044,,,
1004303.647,2066706.617,196.0178166,,,
783252.6757,2971468.74,247.0916578,,,
1070816.687,2883256.929,105.6469666,,,
910719.9862,2783778.962,89.59635075,,,
1022076.657,3169383.289,114.8995316,,,
886580.8441,2407751.421,278.9782961,,,
900429.5905,2210909.451,254.9489671,,,
818044.7072,3072266.099,243.8889806,,,
823586.4006,2313354.941,281.1545226,,,
878930.2414,3315719.752,65.92585594,,,
966432.6899,2848426.44,84.02654188,,,
904331.2406,3177955.092,281.9939224,,,
910719.9862,2894923.369,69.84713448,,,
888094.3501,2447385.336,186.3085234,,,
1043553.393,2008516.739,318.8824681,,,
998726.8715,2479666.326,107.6940866,,,
984756.2598,2240744.319,174.5403046,,,
905415.2199,2946035.074,80.88059739,,,
773450.4728,2571075.975,246.8100708,,,
852177.7532,2752175.267,84.25485934,,,
959150.95,2341050.128,182.5107186,,,
945489.4048,2545423.702,76.34100903,,,
738681.0543,2648236.456,272.5597579,,,
1001202.108,2532947.875,83.85893002,,,
812445.3183,2725430.885,277.6371518,,,
1001202.108,2055641.115,179.8187223,,,
1001202.108,2249914.679,159.5409433,,,
727539.972,2917586.6,266.2588553,,,
969534.2288,2617042.2,98.74714565,,,
868646.2148,2809063.97,90.05221915,,,
1108083.956,2319541.981,226.8011595,,,
793269.1925,2929722.282,249.9214206,,,
1035994.14,2121447.245,197.912675,,,
949964.2283,3073497.748,75.01656747,,,
963934.8399,2528518.49,87.06799088,,,
913821.5252,2732171.304,103.3841429,,,
868135.4089,2505322.269,277.4666695,,,
817408.3347,2921836.732,151.6745052,,,
953065.7672,2320831.81,177.2010866,,,
924358.9185,2333731.527,178.0309004,,,
865637.559,2307815.407,254.2107582,,,
1036024.656,2617916.867,133.4453468,,,
895376.09,2584852.868,150.4945174,,,
1003201.695,2565190.163,170.3410725,,,
977573.7722,2057725.015,191.591533,,,
1047135.222,1729861.675,202.5998625,,,
871236.9479,2475289.776,242.1467199,,,
900429.5905,2205370.048,256.1737066,,,
1033496.29,1687345.045,189.3599537,,,
854791.0993,2850561.484,255.1723725,,,
947488.9913,3033451.558,77.70770281,,,
783252.6757,3178540.596,244.7814981,,,
991422.5186,1920306.324,162.4315134,,,
