operationnoshade,capitalnoshade,euinoshade,operationshade,capitalshade,euishade
906517.1723,2577642.555,65.93540595,1033496.29,1687345.045,189.3599537
812445.3183,2788069.668,275.9387724,854791.0993,2850561.484,255.1723725
761207.4382,2824990.204,256.851223,783252.6757,3178540.596,244.7814981
919304.5524,2828198.666,274.9490818,1075291.511,2789156.094,121.5970757
735579.5153,2665807.539,272.9170252,836467.5294,2782870.661,244.0864404
1036024.656,2675658.912,108.8857603,775970.9358,2984368.973,258.7234675
676302.0918,3079819.081,247.8842286,808242.5043,2498341.937,250.9176593
1001224.721,2774939.783,84.37787209,947488.9913,2651414.981,93.16217767
809368.7913,3561206.555,59.20234749,814422.2919,2456742.069,267.0675376
948613.5567,2306518.61,189.4921758,956630.487,2211076.498,84.8876602
871236.9479,2445737.215,258.873709,676302.0918,3077495.182,252.5412793
910719.9862,2298003.465,173.320923,900429.5905,2348061.469,254.8475568
1016477.268,2879537.485,190.6395482,951111.4067,2867647.162,160.9450449
997021.9075,1994333.051,193.4556356,818532.9001,3271024.416,64.06252445
916319.3751,2749811.982,150.1920986,1003179.082,2262883.371,166.8634591
927460.4574,2700535.701,88.42733417,997021.9075,1970165.006,186.9647767
796753.66,3518353.995,67.06,942682.4884,2663874.101,165.9159346
693255.69,3036895.46,229.14,816897.5288,2626869.229,259.6203037
757699.72,3534459.976,63.06,945489.4048,2322705.39,154.9816936
688784.3,2778502.137,243.51,847214.7368,2454283.011,262.1375953
815369,3298182.601,69.26,844160.8229,3283466.443,157.8059917
929430.76,2559237.47,172.18,819999.0677,2935627.366,255.2484966
994332.32,2406860.607,87.36,876222.5773,2831455.341,82.63203264
927819.04,2169113.79,169.05,916319.3751,2610313.898,174.6532884
645158.73,3095282.63,243.71,895376.09,2697727.724,156.2202763
801972.66,2665955.536,275.26,969534.2288,2262089.689,172.2555131
984386.24,2221477.598,86.3,820021.6808,3166005.671,251.2303028
1029365.71,1943823.77,152.31,910719.9862,2292603.048,178.8787661
1104321.05,3300299.567,98.2,1075291.511,2789156.094,121.5970757
1152217.56,1862681.6,212.32,1004303.647,1959405.543,193.1769997
782148.48,2884791.519,238.79,1035994.14,2448087.592,98.80849983
762641.62,2583618.969,244.17,904904.414,2713725.951,260.3724714
945441.95,2653616.165,83.18,998726.8715,2387420.83,107.471248
1105512.1,2285600.91,181.28,871259.5609,2512820.918,273.4822818
1114984.01,2586411.84,159.33,998726.8715,2070370.405,186.6932684
895168.88,3016388.785,78.64,634228.3204,3562545.506,242.5719532
937993.79,1994643.21,183.09,895376.09,2647526.029,152.9058195
1150449.29,1949715.52,211.19,879299.1043,2300879.113,288.6724436
845573.05,2507884.905,278.94,909037.6353,2785631.096,158.5600964
798851.15,2576113.399,242.32,980281.4363,2323424.689,177.0343705
1032233.52,2335963.854,91.22,854791.0993,2646362.446,269.9971762
1100890.72,2269791.83,154.73,865660.172,2343954.526,274.580025
719190.08,2853579.112,248.76,727539.972,2961917.292,250.9269107
913448.16,2123209.143,264.66,895376.09,2897631.763,81.06682576
801241.1,2879842.9,244.99,815524.2442,2420743.027,255.3163602
819856.92,2418439.42,178.14,874245.6037,2858365.133,154.4525079
1031265.65,2498774.22,152.02,991422.5186,1715092.939,189.491875
926483.89,3049546.342,81.62,1012343.191,2299942.732,78.84129553
795485.81,2828222.632,240.21,916319.3751,2690366.537,175.025518
645158.73,3095282.63,243.71,820509.8736,3221319.947,68.97373817
905369.34,2916551.741,78.66,912696.9598,2191387.331,172.8970158
821742.32,2334313.08,169.17,985880.8252,2325107.193,179.8113643
965033.48,2638600.02,84.92,764286.364,2479221.538,257.4043687
934334.2,3260346.369,81.67,783252.6757,2951479.192,263.8154293
927668.0328,3284078.458,77.58769189,1017579.22,2724882.663,131.9313579
660689.6937,3511525.595,239.9696156,998704.2584,1685565.848,183.655396
778739.4855,3207841.933,146.3573488,823563.7875,2025986.373,273.3283282
799173.9059,3139668.431,250.1882029,956142.2942,2018324.033,277.2732834
955455.4914,2074618.533,183.0710777,711071.5104,3221781.933,241.9484729
1178684.473,1871496.972,192.1363535,914068.5228,2106282.202,280.140454
865265.512,2223138.818,260.9438773,910719.9862,2760825.703,88.75048115
1113044.767,2100470.244,212.2790565,711071.5104,3311703.53,246.8283623
707345.7019,3091966.662,241.1107223,995897.3421,1900857.711,184.3116952
964407.9954,2966711.879,163.0019276,836467.5294,2726069.664,258.3448423
865128.085,2548349.282,259.4092371,628245.27,3191990.37,147.93
1105713.728,2015927.691,318.5528986,902198.02,2031624.336,283.71
922708.33,2453718.558,161.6719236,1087699.85,1591336.63,214.24
888724.6155,2367169.521,269.2524413,1051300.29,1634190.79,194.13
1024806.314,1993673.838,183.7824866,952327.13,2770765.691,82.81
913827.054,2170536.967,163.7183953,1051082.55,2272631.542,95.51
1018571.827,1762372.887,177.3861814,926086.4,1809785.78,173.82
810590.4303,3117189.295,154.862351,947327.77,1914669.95,160.73
660689.6937,3453430.807,240.4908791,795697.46,2659507.768,265.35
896382.8723,2506911.517,279.3465731,984288.07,2042963.107,296.75
808957.0689,2725765.84,253.7510508,801936.03,2482063.704,263.22
947839.2153,2126135.316,275.6093361,1062432.66,1951828.71,192.33
1182135.083,1733891.076,206.0992186,936798.86,2833821.563,82.08
1058219.764,3315050.536,107.221619,654350.94,3080920.483,248.79
1009544.189,2395256.671,163.924341,969693.11,1699847.74,189.37
1240223.847,2051153.384,134.381112,752430.79,2664913.51,148.09
946635.408,2787584.459,275.1631652,874256.81,2377918.724,285.42
877552.3662,2299923.196,266.7988054,879971.26,3202762.022,76.55
736155.6367,2865601.267,235.4528937,1102796.88,2510914.805,97.9
